X,Y,country,nThumbsUp,city,reportRating,confidence,reliability,latitude,globalid,type,uuid,roadType,magvar,subtype,street,reportDescription,objectid,pubMillis,longitude
16.600691,49.208925,EZ,12,Brno,0,5,10,49.208925,{D09063B1-3B49-4B88-C787-D70428E04B2B},ROAD_CLOSED,f4721f38-bc11-41f2-a5e6-450bff13caf4,1,68,ROAD_CLOSED_EVENT,DÅ™evaÅ™skÃ¡,,913111,2023/08/13 10:01:30+00,16.600691
16.602523,49.209396,EZ,3,Brno,0,1,9,49.209396,{C5566C12-4195-A215-A501-51269B4EF18B},ROAD_CLOSED,c9ad6263-8f49-46de-98b3-7e021008c281,1,68,ROAD_CLOSED_EVENT,DÅ™evaÅ™skÃ¡,,913114,2023/08/13 10:01:33+00,16.602523
16.60317,49.209562,EZ,36,Brno,0,5,10,49.209562,{E6589C21-9D19-CA7A-015D-DCAB0A2A24E7},ROAD_CLOSED,290fd9ee-4ec9-49d4-8707-528c59173d15,1,248,ROAD_CLOSED_EVENT,DÅ™evaÅ™skÃ¡,,913215,2023/08/13 11:00:50+00,16.60317
16.56342,49.183422,EZ,19,Brno,0,5,10,49.183422,{AF0EE13B-0DF4-1D02-9423-3D6BDE993FFD},ROAD_CLOSED,49c7329b-05b7-482f-a267-b015cbf00bfd,1,306,ROAD_CLOSED_EVENT,Kluchova,,913219,2023/08/13 11:01:20+00,16.56342
16.636028,49.213713,EZ,24,Brno,0,5,10,49.213713,{8C14BE78-83E4-4D27-2897-097259EA7F64},ROAD_CLOSED,169cf7f8-89a4-4ed2-babc-ef9e121aa918,4,61,ROAD_CLOSED_EVENT,,,913226,2023/08/13 11:01:32+00,16.636028
16.648579,49.189392,EZ,34,Brno,0,5,10,49.189392,{2369717D-0574-366E-E0A2-5D407635B9A3},ROAD_CLOSED,44ea1fda-db2b-48e1-b303-7ff89f09087b,6,186,ROAD_CLOSED_EVENT,ÄŒernovickÃ¡,,913239,2023/08/13 11:00:50+00,16.648579
16.633381,49.215113,EZ,45,Brno,0,5,10,49.215113,{48FD97F1-A3A9-ED01-A600-3C0781FB06C1},ROAD_CLOSED,4200a1a3-3db0-4f4c-9a60-942d925c636f,4,119,ROAD_CLOSED_EVENT,ProvaznÃ­kova,,913240,2023/08/13 11:00:41+00,16.633381
16.557695,49.185165,EZ,16,Brno,0,5,10,49.185165,{D03442ED-B490-B14E-5402-9530125738AB},ROAD_CLOSED,01f1bad6-440c-428a-a249-9e2e87e8511c,1,106,ROAD_CLOSED_EVENT,Kluchova,,913243,2023/08/13 11:01:24+00,16.557695
16.602465,49.191882,EZ,1,Brno,0,0,7,49.191882,{1A08E424-85FC-C920-4A0A-B2E5C25B2E1C},ROAD_CLOSED,5bf78379-e215-4cd6-9c1c-f9f032db68ff,1,177,ROAD_CLOSED_EVENT,Leitnerova,,913257,2023/08/13 11:01:12+00,16.602465
16.635698,49.213358,EZ,10,Brno,0,5,10,49.213358,{58A1CFA7-7EE9-C2A9-1566-0D5FCC2DF213},ROAD_CLOSED,720204e3-31e7-40c7-b3cb-6f922a498f3b,4,30,ROAD_CLOSED_EVENT,,,913261,2023/08/13 11:01:10+00,16.635698
16.56294,49.184532,EZ,11,Brno,0,5,10,49.184532,{79506B75-ED82-D3C6-E459-6C5736D05480},ROAD_CLOSED,9146ee8e-4bf0-43c7-ac61-fa759847b7f6,1,207,ROAD_CLOSED_EVENT,Zoubkova,,913266,2023/08/13 11:01:24+00,16.56294
16.647551,49.192555,EZ,44,Brno,0,5,10,49.192555,{0F04AC0F-9D08-7EB3-9D67-E2523E2F2143},ROAD_CLOSED,46255778-8591-4bbd-9d72-40b73ffad7b6,6,161,ROAD_CLOSED_EVENT,Otakara Å evÄ�Ã­ka,,913276,2023/08/13 11:00:50+00,16.647551
16.648654,49.190678,EZ,41,Brno,0,5,10,49.190678,{40C98F30-8361-728C-12C5-5487A2AAA572},ROAD_CLOSED,56901df6-4acf-440e-9c8f-a6222f73f446,4,268,ROAD_CLOSED_EVENT,,,918160,2023/08/16 07:19:29+00,16.648654
16.567824,49.202643,EZ,45,Brno,0,5,10,49.202643,{9C91EA00-FEED-DECE-BD91-8A2877F9DEF6},ROAD_CLOSED,b0ab42b8-4cc1-4646-b8f2-b55bc6b38cf0,6,180,ROAD_CLOSED_EVENT,Å½abovÅ™eskÃ¡,,928447,2023/08/22 23:00:33+00,16.567824
16.59317,49.186101,EZ,20,Brno,0,5,10,49.186101,{0DDB01A5-C668-A768-8E22-0A4BA4106767},ROAD_CLOSED,7db7c80c-5ee5-4bb6-aab7-26ecbbec488f,1,86,ROAD_CLOSED_EVENT,TÃ¡borskÃ©ho nÃ¡bÅ™eÅ¾Ã­,,946272,2023/09/04 10:52:42+00,16.59317
16.595111,49.186179,EZ,23,Brno,0,5,10,49.186179,{9617BA7A-0EDB-478B-D08C-53D6F3325931},ROAD_CLOSED,a7b28fcd-bc50-40a2-b872-18bd5254748d,1,266,ROAD_CLOSED_EVENT,TÃ¡borskÃ©ho nÃ¡bÅ™eÅ¾Ã­,,946273,2023/09/04 10:52:42+00,16.595111
16.601624,49.191675,EZ,3,Brno,0,1,9,49.191675,{9F192CF1-E135-FCB2-FA98-1C4867807582},ROAD_CLOSED,59d94b2d-fcdd-4f7b-94bf-85723b689bdd,1,69,ROAD_CLOSED_EVENT,KopeÄ�nÃ¡,,952830,2023/09/07 20:50:16+00,16.601624
16.602465,49.191882,EZ,28,Brno,0,5,10,49.191882,{ACFAD5D9-8C77-4019-99E9-F72609261D92},ROAD_CLOSED,056fdb5c-804b-4bab-ba41-f4d34609998d,1,249,ROAD_CLOSED_EVENT,KopeÄ�nÃ¡,,952831,2023/09/07 20:50:16+00,16.602465
16.601496,49.192,EZ,11,Brno,0,5,10,49.192,{91B0C689-0D47-65CF-05C2-1377EA3F5BE6},ROAD_CLOSED,a133aa58-eb93-4be0-a768-e37be7722f0f,1,165,ROAD_CLOSED_EVENT,,,952839,2023/09/07 23:00:29+00,16.601496
16.601624,49.191675,EZ,39,Brno,0,5,10,49.191675,{B2F0746C-BBC4-626A-D544-F3C4E4B09F52},ROAD_CLOSED,05e28012-3eb4-4154-a478-dc176dffb122,1,345,ROAD_CLOSED_EVENT,,,952840,2023/09/07 23:00:26+00,16.601624
16.622944,49.21604,EZ,16,Brno,0,5,10,49.21604,{E94E5F94-922A-963B-BF77-9C6286D28A0C},ROAD_CLOSED,5c4c3274-9ac0-4cbc-9949-a1d170956b38,1,228,ROAD_CLOSED_EVENT,KrkoÅ¡kova,,959533,2023/09/12 21:08:33+00,16.622944
16.621801,49.215378,EZ,12,Brno,0,5,10,49.215378,{C05887AC-08FA-10B9-B79E-6D0208ED69D9},ROAD_CLOSED,8f4ed369-a171-415e-aef1-ed5f96790739,1,48,ROAD_CLOSED_EVENT,KrkoÅ¡kova,,959536,2023/09/12 21:08:33+00,16.621801
16.626745,49.218304,EZ,5,Brno,0,2,10,49.218304,{2B7F5212-D3FA-C321-2A59-43BFD935A641},ROAD_CLOSED,3cb3cec8-dfd7-4686-b9e3-00bc6b952d20,1,111,ROAD_CLOSED_EVENT,FÃ¼gnerova,,960887,2023/09/13 07:19:19+00,16.626745
16.628071,49.217959,EZ,28,Brno,0,5,10,49.217959,{DB90D61B-6FB0-AFC3-F5D9-AE067F39C8E5},ROAD_CLOSED,7ba3736d-7f16-45b6-b843-2d0b2447ae43,1,291,ROAD_CLOSED_EVENT,FÃ¼gnerova,,960889,2023/09/13 07:19:19+00,16.628071
